class	examples
0	orto
0	bulto
0	cajeta
0	choto
0	coger
0	concha
0	cuca
0	culo
0	forro
0	hoyo
0	mierda
0	ocote
0	ojete
0	ortiva
0	pelotas
0	pelotudo
0	pete
0	pijotero
0	pingo
0	puta
0	putas
0	puto
0	rata
0	tragasable
0	chupapija
0	indio
0	tara
0	lary
0	chota
0	birlocha
0	chola
0	imilla
0	llokalla
0	negro
0	guarayo
0	cunumi
0	kara
0	maricon
0	gay
0	trolo
0	lechuguin
0	travesti
0	loca
0	hijo de puta
0	malparido
0	hijo de la gran flauta
0	bastardo
0	pollerudo
0	camba
0	puta
0	prostituta
0	ramera
0	carnicero
0	camionero
0	payaso
0	petizo
0	nojo
0	retrasado
0	mongolico
0	gil
0	pelotudo
0	baboso
0	imbecil
0	estupido
0	bestia
0	burro
0	asno
0	buey
0	nabo
0	trancado
0	nazi
0	luser
0	nono
0	porqueria
0	pucha
0	poto
0	bostero
0	gallina
0	cuervo
0	quemero
0	tatengue
0	tripero
0	pincharrata
0	leproso
0	canalla
0	puto
0	colla
0	concha
0	agacharsele el pico
0	andar con la piedra o roca
0	boton de cuero
0	la penca del burro
0	remojar el cochayuyo
0	agueonao
0	tonto
0	estupido
0	ridiculo
0	conchetumadre
0	cochesumadre
0	conchesumare
0	reconchetumadre
0	recochesumadre
0	reconchesumare
0	hijo de puta
0	hueon
0	mamon
0	ahuevonado
0	ahueonao
0	aweonao
0	huevada
0	hueveo
0	culeado
0	culeao
0	culiao
0	choro
0	pico
0	poto
0	raja
0	puta
0	hijo de la perra
0	chupame la raja
0	traga sable
0	maraco
0	pene
0	verga
0	pico
0	olluo
0	culia
0	pajaron
0	conchetumadre
0	conchatumare
0	hijo de puta
0	malparido
0	puta
0	idiota
0	basura
0	estupido
0	perro
0	maricon
0	pendejo
0	cagon de mierda
0	mierda
0	puto
0	huevon
0	puta madre
0	carajo
0	cabro
0	wueon
0	sonzo
0	tarado
0	imbecil
0	baboso
0	mongol
0	cojudo
0	gil
0	tarao
0	atorrante
0	me llegas al pincho
0	desahuevate
0	rosquete
0	pastrulo
0	pastelero
0	drogo
0	fumon
0	fumeque
0	marihuanero
0	chupapinga
0	mostro
0	careperro
0	caremuerto
0	cachudo
0	venado
0	terruco
1	te mataré
1	te voy a matar
1	te voy a violar
1	te asesinaré
1	voy a asesinarte
1	te sacaré tu puta
1	te voy a coger
1	te lastimaré
1	quiero hacerte daño
1	violar
1	matar
1	violencia
1	partir la madre
1	drogarme
1	drogarte
1	pildorearte
1	pildorear
1	date un tiro
1	te daré un tiro
1	disparar
1	disparo
1	voy a dispararte
1	quiero matarte
1	te haré daño
1	te voy a a hacer mierda
1	eres una puta
1	eres un puto
1	eres una prostituta
1	hijo de tu perra madre 
1	te voy a sacar al concha de tu madre
1	te voy a maltratar
1	te romperé el culo
1	debe ser asesinado
1	eres un maricón
1	eres gay
1	nos drogaremos
1	eres un negro
1	eres una negra 
1	llorar como una perra
1	perra mojada
1	perras gordas
1	esa perra va a arder
1	eres una basura
1	trae tu trasero perra
1	eres una maricona
1	parece maricón
1	me quitaré la vida
1	nigga
1	perra hipócrita
1	eres mi esclavo
1	jodete
0	te voy a joder
1	a la mierda
1	te vas a la mierda
1	maten a los negros
1	maten a los blancos
1	haré una masacre
1	maricones
